county,status,error_description
Citrus,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:894843785, pin:17E19S100020 0A100 0011. No value in any of the specified square footage fields for parcel ogc_fid:894866256, pin:18E17S100130 09990 0120. No value in any of the specified square footage fields for parcel ogc_fid:894858687, pin:18E17S100050 04620 0060. No value in any of the specified square footage fields for parcel ogc_fid:894851942, pin:18E17S100010 00720 0430. No value in any of the specified square footage fields for parcel ogc_fid:894905617, pin:21E19S08 4A000 0150. No value in any of the specified square footage fields for parcel ogc_fid:894954638, pin:18E18S160080 0110. No value in any of the specified square footage fields for parcel ogc_fid:894880459, pin:18E20S130010 00670 0010"
Sumter,Failure,Could not retrieve most recent record from API.
Flagler,Failure,"Empty value in column 'o_zipcode' for parcel ogc_fid:895018686, pin:07-11-31-7030-00310-0060. No value in any of the specified square footage fields for parcel ogc_fid:894998136, pin:07-11-31-7010-00230-0250. Empty value in column 'o_city' for parcel ogc_fid:895037576, pin:07-11-31-7065-00550-0250. Empty value in column 'o_zipcode' for parcel ogc_fid:895037576, pin:07-11-31-7065-00550-0250. No value in any of the specified square footage fields for parcel ogc_fid:895018686, pin:07-11-31-7030-00310-0060. Empty value in column 'o_zipcode' for parcel ogc_fid:895002084, pin:07-11-31-7014-00020-0860. No value in any of the specified square footage fields for parcel ogc_fid:895037576, pin:07-11-31-7065-00550-0250. Empty value in column 'legal_full' for parcel ogc_fid:895017802, pin:07-11-31-7029-00540-0320. Empty value in column 'o_zipcode' for parcel ogc_fid:895005053, pin:07-11-31-7019-00230-0050. Empty value in column 'legal_full' for parcel ogc_fid:895005053, pin:07-11-31-7019-00230-0050. No value in any of the specified square footage fields for parcel ogc_fid:895017802, pin:07-11-31-7029-00540-0320. Empty value in column 'o_city' for parcel ogc_fid:895065882, pin:38-12-31-2200-00000-0180. Empty value in column 'legal_full' for parcel ogc_fid:895018686, pin:07-11-31-7030-00310-0060. Empty value in column 'o_city' for parcel ogc_fid:895017802, pin:07-11-31-7029-00540-0320. Empty value in column 'o_zipcode' for parcel ogc_fid:895017802, pin:07-11-31-7029-00540-0320. Empty value in column 'o_zipcode' for parcel ogc_fid:895038932, pin:07-11-31-7100-00330-0101. Empty value in column 'legal_full' for parcel ogc_fid:894998136, pin:07-11-31-7010-00230-0250. Empty value in column 'o_zipcode' for parcel ogc_fid:894998136, pin:07-11-31-7010-00230-0250. No value in any of the specified square footage fields for parcel ogc_fid:895005053, pin:07-11-31-7019-00230-0050. Empty value in column 'o_zipcode' for parcel ogc_fid:895060178, pin:29-12-32-4990-00000-0513. Empty value in column 'o_city' for parcel ogc_fid:895018686, pin:07-11-31-7030-00310-0060. Empty value in column 'o_zipcode' for parcel ogc_fid:895065882, pin:38-12-31-2200-00000-0180. Empty value in column 'legal_full' for parcel ogc_fid:895038932, pin:07-11-31-7100-00330-0101. Empty value in column 'legal_full' for parcel ogc_fid:895037576, pin:07-11-31-7065-00550-0250. Empty value in column 'o_city' for parcel ogc_fid:894998136, pin:07-11-31-7010-00230-0250. Empty value in column 'legal_full' for parcel ogc_fid:895060178, pin:29-12-32-4990-00000-0513. Empty value in column 'o_city' for parcel ogc_fid:895050334, pin:19-12-32-5350-00000-0030. Empty value in column 'o_city' for parcel ogc_fid:895038932, pin:07-11-31-7100-00330-0101. Empty value in column 'o_city' for parcel ogc_fid:895005053, pin:07-11-31-7019-00230-0050. Empty value in column 'o_city' for parcel ogc_fid:895060178, pin:29-12-32-4990-00000-0513. Empty value in column 'o_city' for parcel ogc_fid:895002084, pin:07-11-31-7014-00020-0860. Empty value in column 'legal_full' for parcel ogc_fid:895050334, pin:19-12-32-5350-00000-0030. Empty value in column 'legal_full' for parcel ogc_fid:895002084, pin:07-11-31-7014-00020-0860. No value in any of the specified square footage fields for parcel ogc_fid:895065882, pin:38-12-31-2200-00000-0180. Empty value in column 'legal_full' for parcel ogc_fid:895065882, pin:38-12-31-2200-00000-0180. Empty value in column 'o_zipcode' for parcel ogc_fid:895050334, pin:19-12-32-5350-00000-0030. No value in any of the specified square footage fields for parcel ogc_fid:895002084, pin:07-11-31-7014-00020-0860"
Highlands,Failure,"Empty value in column 'assd_tot' for parcel ogc_fid:894509686, pin:C22373009007800270. Empty value in column 'assd_tot' for parcel ogc_fid:894539883, pin:S043529A0001800000. No value in any of the specified square footage fields for parcel ogc_fid:894536002, pin:C35342802003900210. Empty value in column 'assd_tot' for parcel ogc_fid:894480564, pin:C15353002000K00230. Empty value in column 'assd_tot' for parcel ogc_fid:894536002, pin:C35342802003900210. No value in any of the specified square footage fields for parcel ogc_fid:894509686, pin:C22373009007800270. No value in any of the specified square footage fields for parcel ogc_fid:894511016, pin:C22373015015100090. No value in any of the specified square footage fields for parcel ogc_fid:894539883, pin:S043529A0001800000. Empty value in column 'assd_tot' for parcel ogc_fid:894511016, pin:C22373015015100090. Empty value in column 'assd_tot' for parcel ogc_fid:894480102, pin:C15352906000000100. Empty value in column 'assd_tot' for parcel ogc_fid:894480563, pin:C15353002000K00220. No value in any of the specified square footage fields for parcel ogc_fid:894493837, pin:C20363014003000210. Empty value in column 'assd_tot' for parcel ogc_fid:894469162, pin:C11362801000000030. Empty value in column 'assd_tot' for parcel ogc_fid:894493837, pin:C20363014003000210. Empty value in column 'assd_tot' for parcel ogc_fid:894443096, pin:C01352802000300040"
Nassau,Failure,Could not retrieve most recent record from API.
Monroe,Failure,Could not retrieve most recent record from API.
Walton,Failure,"Empty value in column 'o_zipcode' for parcel ogc_fid:895645350, pin:013S203420000C0110. Empty value in column 'o_zipcode' for parcel ogc_fid:895688122, pin:013N202804000A0010. No value in any of the specified square footage fields for parcel ogc_fid:895668481, pin:012S19240000020010. Empty value in column 'o_address1' for parcel ogc_fid:895688783, pin:013S20340300000320. Empty value in column 'legal_full' for parcel ogc_fid:895668481, pin:012S19240000020010. Empty value in column 'o_city' for parcel ogc_fid:895642903, pin:013N20280110000170. Empty value in column 'legal_full' for parcel ogc_fid:895645350, pin:013S203420000C0110. Empty value in column 'o_address1' for parcel ogc_fid:895645350, pin:013S203420000C0110. Empty value in column 'o_address1' for parcel ogc_fid:895709146, pin:013N202806000A0010. Empty value in column 'o_address1' for parcel ogc_fid:895642903, pin:013N20280110000170. Empty value in column 'o_city' for parcel ogc_fid:895668481, pin:012S19240000020010. Empty value in column 'legal_full' for parcel ogc_fid:895681675, pin:011S20320000090000. Empty value in column 'o_city' for parcel ogc_fid:895688783, pin:013S20340300000320. Empty value in column 'legal_full' for parcel ogc_fid:895688783, pin:013S20340300000320. Empty value in column 'o_zipcode' for parcel ogc_fid:895688783, pin:013S20340300000320. No value in any of the specified square footage fields for parcel ogc_fid:895645350, pin:013S203420000C0110. Empty value in column 's_address' for parcel ogc_fid:895668481, pin:012S19240000020010. Empty value in column 'legal_full' for parcel ogc_fid:895709146, pin:013N202806000A0010. Empty value in column 'o_address1' for parcel ogc_fid:895668481, pin:012S19240000020010. No value in any of the specified square footage fields for parcel ogc_fid:895729626, pin:013N202806000A0040. Empty value in column 'legal_full' for parcel ogc_fid:895729626, pin:013N202806000A0040. Empty value in column 'o_zipcode' for parcel ogc_fid:895729626, pin:013N202806000A0040. Empty value in column 'o_address1' for parcel ogc_fid:895681675, pin:011S20320000090000. Empty value in column 'o_zipcode' for parcel ogc_fid:895642903, pin:013N20280110000170. Empty value in column 'o_city' for parcel ogc_fid:895645350, pin:013S203420000C0110. Empty value in column 'o_zipcode' for parcel ogc_fid:895681675, pin:011S20320000090000. Empty value in column 'o_city' for parcel ogc_fid:895688122, pin:013N202804000A0010. Empty value in column 'o_address1' for parcel ogc_fid:895729626, pin:013N202806000A0040. Empty value in column 'o_city' for parcel ogc_fid:895729626, pin:013N202806000A0040. Empty value in column 'o_zipcode' for parcel ogc_fid:895650617, pin:013S20340300000390. Empty value in column 'legal_full' for parcel ogc_fid:895644161, pin:013N21370000010030. Empty value in column 'legal_full' for parcel ogc_fid:895642903, pin:013N20280110000170. Empty value in column 'o_city' for parcel ogc_fid:895644161, pin:013N21370000010030. Empty value in column 'o_address1' for parcel ogc_fid:895644161, pin:013N21370000010030. Empty value in column 'o_city' for parcel ogc_fid:895650617, pin:013S20340300000390. Empty value in column 'legal_full' for parcel ogc_fid:895650617, pin:013S20340300000390. Empty value in column 'o_address1' for parcel ogc_fid:895688122, pin:013N202804000A0010. Empty value in column 'o_address1' for parcel ogc_fid:895650617, pin:013S20340300000390. Empty value in column 'legal_full' for parcel ogc_fid:895688122, pin:013N202804000A0010. Empty value in column 'o_zipcode' for parcel ogc_fid:895644161, pin:013N21370000010030. Empty value in column 'o_city' for parcel ogc_fid:895681675, pin:011S20320000090000. Empty value in column 'o_zipcode' for parcel ogc_fid:895668481, pin:012S19240000020010. Empty value in column 'o_city' for parcel ogc_fid:895709146, pin:013N202806000A0010. Empty value in column 'o_zipcode' for parcel ogc_fid:895709146, pin:013N202806000A0010. No value in any of the specified square footage fields for parcel ogc_fid:895650617, pin:013S20340300000390"
Putnam,Failure,Could not retrieve most recent record from API.
Columbia,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:896101368, pin:042S1704667001. Empty value in column 'legal_full' for parcel ogc_fid:896072722, pin:343S1706890002. Empty value in column 'legal_full' for parcel ogc_fid:896081418, pin:054S1707634000. Empty value in column 'legal_full' for parcel ogc_fid:896104026, pin:044S1602749000. No value in any of the specified square footage fields for parcel ogc_fid:896072722, pin:343S1706890002. Empty value in column 's_zipcode' for parcel ogc_fid:896101368, pin:042S1704667001. No value in any of the specified square footage fields for parcel ogc_fid:896081418, pin:054S1707634000. Empty value in column 's_city' for parcel ogc_fid:896072722, pin:343S1706890002. Empty value in column 's_address' for parcel ogc_fid:896101368, pin:042S1704667001. Empty value in column 'legal_full' for parcel ogc_fid:896082296, pin:112S1601593004. Empty value in column 's_city' for parcel ogc_fid:896101368, pin:042S1704667001. Empty value in column 'legal_full' for parcel ogc_fid:896101214, pin:142S1601608005. Empty value in column 's_address' for parcel ogc_fid:896072722, pin:343S1706890002. Empty value in column 'legal_full' for parcel ogc_fid:896101368, pin:042S1704667001. Empty value in column 'legal_full' for parcel ogc_fid:896089557, pin:355S1603755026. Empty value in column 'legal_full' for parcel ogc_fid:896102082, pin:044S1602772025. Empty value in column 's_zipcode' for parcel ogc_fid:896072722, pin:343S1706890002. Empty value in column 'legal_full' for parcel ogc_fid:896095066, pin:283S1602372420. Empty value in column 'legal_full' for parcel ogc_fid:896083216, pin:00000010823000"
Jackson,Failure,"Empty value in column 'o_city' for parcel ogc_fid:896125068, pin:012N12022300600051. Empty value in column 'o_city' for parcel ogc_fid:896135503, pin:022N11008100L00130. Empty value in column 'o_zipcode' for parcel ogc_fid:896139841, pin:022N11008300A00270. Empty value in column 'o_address1' for parcel ogc_fid:896112163, pin:014N11000000100000. Empty value in column 'o_zipcode' for parcel ogc_fid:896115442, pin:013N12000404600100. Empty value in column 'legal_full' for parcel ogc_fid:896115442, pin:013N12000404600100. No value in any of the specified square footage fields for parcel ogc_fid:896139841, pin:022N11008300A00270. Empty value in column 'o_zipcode' for parcel ogc_fid:896135503, pin:022N11008100L00130. Empty value in column 'o_city' for parcel ogc_fid:896114190, pin:022N11008100S00030. Empty value in column 'o_address1' for parcel ogc_fid:896120761, pin:013N10041400A00100. No value in any of the specified square footage fields for parcel ogc_fid:896114190, pin:022N11008100S00030. Empty value in column 'o_zipcode' for parcel ogc_fid:896114190, pin:022N11008100S00030. Empty value in column 'o_address1' for parcel ogc_fid:896119995, pin:014N08000000300020. Empty value in column 'o_address1' for parcel ogc_fid:896120304, pin:013N1200040OD00010. Empty value in column 'legal_full' for parcel ogc_fid:896120304, pin:013N1200040OD00010. Empty value in column 'o_city' for parcel ogc_fid:896120761, pin:013N10041400A00100. Empty value in column 'o_address1' for parcel ogc_fid:896136570, pin:022N11008100I00160. Empty value in column 'o_zipcode' for parcel ogc_fid:896112163, pin:014N11000000100000. Empty value in column 'o_address1' for parcel ogc_fid:896125068, pin:012N12022300600051. No value in any of the specified square footage fields for parcel ogc_fid:896119995, pin:014N08000000300020. Empty value in column 'o_city' for parcel ogc_fid:896139841, pin:022N11008300A00270. Empty value in column 'legal_full' for parcel ogc_fid:896135503, pin:022N11008100L00130. Empty value in column 'legal_full' for parcel ogc_fid:896114190, pin:022N11008100S00030. Empty value in column 'o_zipcode' for parcel ogc_fid:896120304, pin:013N1200040OD00010. Empty value in column 'o_city' for parcel ogc_fid:896136570, pin:022N11008100I00160. Empty value in column 'o_zipcode' for parcel ogc_fid:896136570, pin:022N11008100I00160. Empty value in column 'legal_full' for parcel ogc_fid:896119995, pin:014N08000000300020. No value in any of the specified square footage fields for parcel ogc_fid:896135503, pin:022N11008100L00130. Empty value in column 'legal_full' for parcel ogc_fid:896139841, pin:022N11008300A00270. Empty value in column 'legal_full' for parcel ogc_fid:896136570, pin:022N11008100I00160. Empty value in column 'o_address1' for parcel ogc_fid:896139841, pin:022N11008300A00270. Empty value in column 'o_zipcode' for parcel ogc_fid:896125068, pin:012N12022300600051. Empty value in column 'o_city' for parcel ogc_fid:896120304, pin:013N1200040OD00010. No value in any of the specified square footage fields for parcel ogc_fid:896136570, pin:022N11008100I00160. Empty value in column 'o_city' for parcel ogc_fid:896115442, pin:013N12000404600100. Empty value in column 'o_city' for parcel ogc_fid:896119995, pin:014N08000000300020. Empty value in column 'legal_full' for parcel ogc_fid:896125068, pin:012N12022300600051. Empty value in column 'o_city' for parcel ogc_fid:896112163, pin:014N11000000100000. Empty value in column 'o_address1' for parcel ogc_fid:896135503, pin:022N11008100L00130. Empty value in column 'o_zipcode' for parcel ogc_fid:896120761, pin:013N10041400A00100. Empty value in column 'legal_full' for parcel ogc_fid:896112163, pin:014N11000000100000. No value in any of the specified square footage fields for parcel ogc_fid:896125068, pin:012N12022300600051. Empty value in column 'legal_full' for parcel ogc_fid:896120761, pin:013N10041400A00100. Empty value in column 'o_address1' for parcel ogc_fid:896114190, pin:022N11008100S00030. Empty value in column 'o_zipcode' for parcel ogc_fid:896119995, pin:014N08000000300020. Empty value in column 'o_address1' for parcel ogc_fid:896115442, pin:013N12000404600100"
Gadsden,Failure,"Empty value in column 'o_city' for parcel ogc_fid:896144844, pin:1-33-4N-5W-0000-00433-0500. Empty value in column 'o_city' for parcel ogc_fid:896151278, pin:1-33-4N-6W-0000-00324-0500. Empty value in column 'o_zipcode' for parcel ogc_fid:896155196, pin:1-33-4N-6W-0020-00000-0760. Empty value in column 'o_city' for parcel ogc_fid:896159748, pin:1-33-4N-6W-0000-00134-1400. Empty value in column 'o_address1' for parcel ogc_fid:896166463, pin:1-33-4N-5W-0000-00433-0600. Empty value in column 'o_address1' for parcel ogc_fid:896148370, pin:1-33-4N-6W-0000-00213-0400. Empty value in column 'legal_full' for parcel ogc_fid:896151278, pin:1-33-4N-6W-0000-00324-0500. Empty value in column 'o_zipcode' for parcel ogc_fid:896144844, pin:1-33-4N-5W-0000-00433-0500. Empty value in column 'o_city' for parcel ogc_fid:896155196, pin:1-33-4N-6W-0020-00000-0760. Empty value in column 'legal_full' for parcel ogc_fid:896148370, pin:1-33-4N-6W-0000-00213-0400. Empty value in column 'legal_full' for parcel ogc_fid:896163482, pin:1-31-4N-5W-0000-00411-0100. Empty value in column 'o_address1' for parcel ogc_fid:896159748, pin:1-33-4N-6W-0000-00134-1400. Empty value in column 'o_city' for parcel ogc_fid:896166463, pin:1-33-4N-5W-0000-00433-0600. Empty value in column 'legal_full' for parcel ogc_fid:896159408, pin:1-33-4N-6W-0000-00213-3000. Empty value in column 'o_address1' for parcel ogc_fid:896155196, pin:1-33-4N-6W-0020-00000-0760. Empty value in column 'o_address1' for parcel ogc_fid:896144844, pin:1-33-4N-5W-0000-00433-0500. Empty value in column 'o_city' for parcel ogc_fid:896163482, pin:1-31-4N-5W-0000-00411-0100. Empty value in column 'legal_full' for parcel ogc_fid:896158720, pin:1-33-4N-6W-0000-00431-0100. Empty value in column 'o_zipcode' for parcel ogc_fid:896163482, pin:1-31-4N-5W-0000-00411-0100. Empty value in column 'legal_full' for parcel ogc_fid:896159748, pin:1-33-4N-6W-0000-00134-1400. Empty value in column 'o_city' for parcel ogc_fid:896159408, pin:1-33-4N-6W-0000-00213-3000. Empty value in column 'o_city' for parcel ogc_fid:896158720, pin:1-33-4N-6W-0000-00431-0100. Empty value in column 'o_zipcode' for parcel ogc_fid:896148370, pin:1-33-4N-6W-0000-00213-0400. Empty value in column 'o_address1' for parcel ogc_fid:896145396, pin:1-33-4N-4W-0000-00334-0000. Empty value in column 'o_zipcode' for parcel ogc_fid:896159408, pin:1-33-4N-6W-0000-00213-3000. Empty value in column 'legal_full' for parcel ogc_fid:896144844, pin:1-33-4N-5W-0000-00433-0500. Empty value in column 'o_city' for parcel ogc_fid:896145396, pin:1-33-4N-4W-0000-00334-0000. Empty value in column 'o_zipcode' for parcel ogc_fid:896151278, pin:1-33-4N-6W-0000-00324-0500. Empty value in column 'legal_full' for parcel ogc_fid:896145396, pin:1-33-4N-4W-0000-00334-0000. Empty value in column 'o_address1' for parcel ogc_fid:896159408, pin:1-33-4N-6W-0000-00213-3000. Empty value in column 'legal_full' for parcel ogc_fid:896166463, pin:1-33-4N-5W-0000-00433-0600. Empty value in column 'o_zipcode' for parcel ogc_fid:896159748, pin:1-33-4N-6W-0000-00134-1400. Empty value in column 'legal_full' for parcel ogc_fid:896155196, pin:1-33-4N-6W-0020-00000-0760. Empty value in column 'o_zipcode' for parcel ogc_fid:896158720, pin:1-33-4N-6W-0000-00431-0100. Empty value in column 'o_zipcode' for parcel ogc_fid:896166463, pin:1-33-4N-5W-0000-00433-0600. Empty value in column 'o_zipcode' for parcel ogc_fid:896145396, pin:1-33-4N-4W-0000-00334-0000. Empty value in column 'o_address1' for parcel ogc_fid:896151278, pin:1-33-4N-6W-0000-00324-0500. Empty value in column 'o_address1' for parcel ogc_fid:896163482, pin:1-31-4N-5W-0000-00411-0100. Empty value in column 'o_address1' for parcel ogc_fid:896158720, pin:1-33-4N-6W-0000-00431-0100. Empty value in column 'o_city' for parcel ogc_fid:896148370, pin:1-33-4N-6W-0000-00213-0400. No value in any of the specified square footage fields for parcel ogc_fid:896166463, pin:1-33-4N-5W-0000-00433-0600"
Suwannee,Failure,"Empty value in column 'legal_full' for parcel ogc_fid:896202156, pin:2106S15E01371000010. Empty value in column 'legal_full' for parcel ogc_fid:896199568, pin:3002S14E02436000200. Empty value in column 's_zipcode' for parcel ogc_fid:896181790, pin:3206S15E01457600060. Empty value in column 'legal_full' for parcel ogc_fid:896202942, pin:2502S13E07395000010. Empty value in column 'legal_full' for parcel ogc_fid:896191355, pin:1103S11E11694000090. Empty value in column 's_address' for parcel ogc_fid:896202942, pin:2502S13E07395000010. No value in any of the specified square footage fields for parcel ogc_fid:896202559, pin:2005S15E01106031310. Empty value in column 's_zipcode' for parcel ogc_fid:896206610, pin:1302S13E04969001002. No value in any of the specified square footage fields for parcel ogc_fid:896206559, pin:2502S13E07395000000. Empty value in column 's_address' for parcel ogc_fid:896202559, pin:2005S15E01106031310. Empty value in column 'legal_full' for parcel ogc_fid:896195166, pin:3206S15E01457600050. No value in any of the specified square footage fields for parcel ogc_fid:896206610, pin:1302S13E04969001002. No value in any of the specified square footage fields for parcel ogc_fid:896195166, pin:3206S15E01457600050. Empty value in column 's_zipcode' for parcel ogc_fid:896202559, pin:2005S15E01106031310. No value in any of the specified square footage fields for parcel ogc_fid:896181790, pin:3206S15E01457600060. Empty value in column 's_address' for parcel ogc_fid:896195166, pin:3206S15E01457600050. Empty value in column 's_city' for parcel ogc_fid:896195166, pin:3206S15E01457600050. Empty value in column 'legal_full' for parcel ogc_fid:896206559, pin:2502S13E07395000000. Empty value in column 's_address' for parcel ogc_fid:896181790, pin:3206S15E01457600060. Empty value in column 's_city' for parcel ogc_fid:896181790, pin:3206S15E01457600060. Empty value in column 's_city' for parcel ogc_fid:896202942, pin:2502S13E07395000010. No value in any of the specified square footage fields for parcel ogc_fid:896202942, pin:2502S13E07395000010. Empty value in column 's_address' for parcel ogc_fid:896206610, pin:1302S13E04969001002. Empty value in column 'legal_full' for parcel ogc_fid:896202559, pin:2005S15E01106031310. Empty value in column 's_zipcode' for parcel ogc_fid:896195166, pin:3206S15E01457600050. Empty value in column 'legal_full' for parcel ogc_fid:896183333, pin:2502S13E07395000100. Empty value in column 'legal_full' for parcel ogc_fid:896206610, pin:1302S13E04969001002. Empty value in column 'legal_full' for parcel ogc_fid:896181790, pin:3206S15E01457600060. Empty value in column 's_city' for parcel ogc_fid:896206610, pin:1302S13E04969001002. Empty value in column 's_zipcode' for parcel ogc_fid:896202942, pin:2502S13E07395000010. Empty value in column 's_city' for parcel ogc_fid:896202559, pin:2005S15E01106031310"
Levy,Failure,"Empty value in column 'o_zipcode' for parcel ogc_fid:897124671, pin:0029804601. Empty value in column 'o_city' for parcel ogc_fid:897097670, pin:0029104200. Empty value in column 's_city' for parcel ogc_fid:897109455, pin:0029807501. Empty value in column 'o_city' for parcel ogc_fid:897109935, pin:0027300100. Empty value in column 's_address' for parcel ogc_fid:897109455, pin:0029807501. Empty value in column 's_city' for parcel ogc_fid:897124671, pin:0029804601. Empty value in column 'legal_full' for parcel ogc_fid:897109935, pin:0027300100. Empty value in column 'o_address1' for parcel ogc_fid:897109455, pin:0029807501. No value in any of the specified square footage fields for parcel ogc_fid:897109455, pin:0029807501. No value in any of the specified square footage fields for parcel ogc_fid:897124671, pin:0029804601. No value in any of the specified square footage fields for parcel ogc_fid:897095823, pin:0029807601. Empty value in column 's_zipcode' for parcel ogc_fid:897109455, pin:0029807501. Empty value in column 'legal_full' for parcel ogc_fid:897129108, pin:0029808802. No value in any of the specified square footage fields for parcel ogc_fid:897114691, pin:0029808902. Empty value in column 'o_zipcode' for parcel ogc_fid:897109455, pin:0029807501. Empty value in column 'legal_full' for parcel ogc_fid:897087608, pin:0017203800. Empty value in column 'o_address1' for parcel ogc_fid:897116504, pin:0027902500. Empty value in column 'o_zipcode' for parcel ogc_fid:897129108, pin:0029808802. Empty value in column 's_zipcode' for parcel ogc_fid:897129108, pin:0029808802. Empty value in column 'o_zipcode' for parcel ogc_fid:897095823, pin:0029807601. Empty value in column 'legal_full' for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 'o_zipcode' for parcel ogc_fid:897097670, pin:0029104200. Empty value in column 'o_zipcode' for parcel ogc_fid:897087608, pin:0017203800. Empty value in column 'o_zipcode' for parcel ogc_fid:897109935, pin:0027300100. Empty value in column 'o_zipcode' for parcel ogc_fid:897116504, pin:0027902500. Empty value in column 'o_city' for parcel ogc_fid:897129108, pin:0029808802. Empty value in column 'o_zipcode' for parcel ogc_fid:897114691, pin:0029808902. Empty value in column 's_address' for parcel ogc_fid:897095823, pin:0029807601. Empty value in column 's_city' for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 'o_city' for parcel ogc_fid:897087608, pin:0017203800. Empty value in column 's_address' for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 'o_address1' for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 'legal_full' for parcel ogc_fid:897116504, pin:0027902500. Empty value in column 's_zipcode' for parcel ogc_fid:897114691, pin:0029808902. No value in any of the specified square footage fields for parcel ogc_fid:897129108, pin:0029808802. Empty value in column 'o_address1' for parcel ogc_fid:897114691, pin:0029808902. Empty value in column 'o_city' for parcel ogc_fid:897116504, pin:0027902500. Empty value in column 'o_city' for parcel ogc_fid:897124671, pin:0029804601. Empty value in column 'o_zipcode' for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 's_address' for parcel ogc_fid:897124671, pin:0029804601. Empty value in column 'o_address1' for parcel ogc_fid:897097670, pin:0029104200. Empty value in column 'o_city' for parcel ogc_fid:897109455, pin:0029807501. Empty value in column 's_zipcode' for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 'o_address1' for parcel ogc_fid:897087608, pin:0017203800. Empty value in column 'legal_full' for parcel ogc_fid:897097670, pin:0029104200. Empty value in column 'legal_full' for parcel ogc_fid:897109455, pin:0029807501. Empty value in column 's_address' for parcel ogc_fid:897129108, pin:0029808802. Empty value in column 's_zipcode' for parcel ogc_fid:897124671, pin:0029804601. Empty value in column 's_city' for parcel ogc_fid:897114691, pin:0029808902. Empty value in column 'o_address1' for parcel ogc_fid:897095823, pin:0029807601. Empty value in column 'legal_full' for parcel ogc_fid:897114691, pin:0029808902. Empty value in column 'o_address1' for parcel ogc_fid:897129108, pin:0029808802. Empty value in column 'o_city' for parcel ogc_fid:897095823, pin:0029807601. Empty value in column 's_address' for parcel ogc_fid:897114691, pin:0029808902. No value in any of the specified square footage fields for parcel ogc_fid:897097670, pin:0029104200. No value in any of the specified square footage fields for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 'o_city' for parcel ogc_fid:897114691, pin:0029808902. Empty value in column 'legal_full' for parcel ogc_fid:897124671, pin:0029804601. Empty value in column 'o_address1' for parcel ogc_fid:897124671, pin:0029804601. Empty value in column 'o_address1' for parcel ogc_fid:897109935, pin:0027300100. Empty value in column 's_zipcode' for parcel ogc_fid:897095823, pin:0029807601. Empty value in column 's_city' for parcel ogc_fid:897129108, pin:0029808802. Empty value in column 's_city' for parcel ogc_fid:897095823, pin:0029807601. Empty value in column 'o_city' for parcel ogc_fid:897085253, pin:0029809402. Empty value in column 'legal_full' for parcel ogc_fid:897095823, pin:0029807601"
Okeechobee,Failure,"No value in any of the specified square footage fields for parcel ogc_fid:897136755, pin:12434330A0000004P000. No value in any of the specified square footage fields for parcel ogc_fid:897157327, pin:10537350050005900620. Empty value in column 'legal_full' for parcel ogc_fid:897149650, pin:10537350050005900610. Empty value in column 'legal_full' for parcel ogc_fid:897150069, pin:10537350020002700170. Empty value in column 'legal_full' for parcel ogc_fid:897157327, pin:10537350050005900620. Empty value in column 'legal_full' for parcel ogc_fid:897131593, pin:12434330A0000021H000. Empty value in column 'legal_full' for parcel ogc_fid:897131116, pin:11434330A0000008C000. Empty value in column 'legal_full' for parcel ogc_fid:897133254, pin:13634330A0000017L000. Empty value in column 'legal_full' for parcel ogc_fid:897138352, pin:12534330A0000031N000. No value in any of the specified square footage fields for parcel ogc_fid:897133254, pin:13634330A0000017L000. No value in any of the specified square footage fields for parcel ogc_fid:897149650, pin:10537350050005900610. No value in any of the specified square footage fields for parcel ogc_fid:897131116, pin:11434330A0000008C000. No value in any of the specified square footage fields for parcel ogc_fid:897138352, pin:12534330A0000031N000. Empty value in column 'legal_full' for parcel ogc_fid:897149913, pin:11937340010000680000. Empty value in column 'legal_full' for parcel ogc_fid:897136755, pin:12434330A0000004P000. Empty value in column 'legal_full' for parcel ogc_fid:897159016, pin:12336340020000100230. No value in any of the specified square footage fields for parcel ogc_fid:897131593, pin:12434330A0000021H000. No value in any of the specified square footage fields for parcel ogc_fid:897150069, pin:10537350020002700170"
